location,total_sqft,bath,price,bhk
sector92.0,1091,3,86.5,3
sector92.0,1900,4,160,4
sector92.0,1197,2,78.1,2
sector92.0,1900,4,160,4
sector92.0,1063,2,57,2
sector92.0,1851,3,111,3
sector92.0,1851,3,102,3
sector92.0,645,3,55.8,3
sector92.0,1851,3,102,3
sector92.0,645,3,55.8,3
sector92.0,1523,3,82,3
sector92.0,1523,3,82,3
sector92.0,1320,2,88,2
sector92.0,1197,2,98,2
sector92.0,1197,2,98,2
sector92.0,1432,3,111,3
sector92.0,1091,3,90.1,3
sector92.0,1197,2,78.1,2
sector92.0,1063,2,57,2
sector92.0,1320,2,88,2
sector92.0,1628,3,92,3
sector92.0,1851,3,111,3
sector92.0,1432,3,111,3
sector92.0,1432,3,111,3
sector93.0,1566,3,112,3
sector93.0,1566,3,112,3
sector93.0,641,2,49.1,2
sector93.0,641,2,49.1,2
sector93.0,1530,3,160,3
sector93.0,1278,2,96,2
sector93.0,900,2,101,2
sector93.0,900,2,101,2
sector93.0,1530,3,160,3
sector93.0,1278,2,96,2
sector95.0,645,3,45,3
sector95.0,645,3,45,3
sector95.0,366,1,20,1
sector95.0,366,1,20,1
sector95.0,645,3,41.9,3
sector95.0,645,3,41.9,3
sector95.0,430,1,23,1
sector95.0,430,1,23,1
sector95.0,2561,4,130,4
sector95.0,2561,4,130,4
sector95.0,398,1,19.5,1
sector95.0,398,1,19.5,1
sector95.0,410,1,20.7,1
sector95.0,560,2,27,2
sector95.0,410,1,20.7,1
sector95.0,560,2,27,2
sector95.0,514,2,30,2
sector95.0,514,2,30,2
sector95.0,357,1,17.3,1
sector95.0,357,1,17.3,1
sector95.0,1500,3,125,3
sector95.0,1128,2,75,2
sector95.0,1500,3,125,3
sector95.0,1128,2,75,2
sector95.0,450,1,24.4,1
sector95.0,450,1,24.4,1
sector95.0,560,2,27,2
sector95.0,560,2,27,2
sector95.0,990,2,48,2
sector99.0,1465,5,152,4
sector99.0,1465,5,86,4
sector99.0,550,2,265,2
sector99.0,550,2,71.05,2
sector99.0,1220,3,78,3
sector99.0,550,2,273,2
sector99.0,1685,3,310,3
sector99.0,1685,3,95,3
sector99.0,1310,2,89.5,2
sector99.0,1310,2,156,2
sector99.0,1220,3,70,3
